case_study,session_id,group_local,group_global,method,score,rank
case_study_1,4,5,case_study_1_4_5,Median,4.0,3
case_study_1,4,6,case_study_1_4_6,R2R_copeland,4.2272727272727275,4
case_study_1,4,6,case_study_1_4_6,R2R_borda,4.818181818181818,4
case_study_1,4,6,case_study_1_4_6,Copeland,5.0,4
case_study_1,4,6,case_study_1_4_6,Borda,105.0,4
case_study_1,4,6,case_study_1_4_6,Mean,4.318181818181818,5
case_study_1,4,6,case_study_1_4_6,Median,4.0,3
case_study_1,4,7,case_study_1_4_7,R2R_copeland,4.045454545454546,8
case_study_1,4,7,case_study_1_4_7,R2R_borda,4.372727272727273,7
case_study_1,4,7,case_study_1_4_7,Copeland,1.0,8
case_study_1,4,7,case_study_1_4_7,Borda,46.0,7
case_study_1,4,7,case_study_1_4_7,Mean,3.9545454545454546,7
case_study_1,4,7,case_study_1_4_7,Median,4.0,3
case_study_1,4,8,case_study_1_4_8,R2R_copeland,4.0,9
case_study_1,4,8,case_study_1_4_8,R2R_borda,4.327272727272727,9
case_study_1,4,8,case_study_1_4_8,Copeland,0.0,9
case_study_1,4,8,case_study_1_4_8,Borda,39.0,9
case_study_1,4,8,case_study_1_4_8,Mean,3.8636363636363638,8
case_study_1,4,8,case_study_1_4_8,Median,4.0,3
case_study_1,4,9,case_study_1_4_9,R2R_copeland,4.2727272727272725,3
case_study_1,4,9,case_study_1_4_9,R2R_borda,4.872727272727273,3
case_study_1,4,9,case_study_1_4_9,Copeland,6.0,3
case_study_1,4,9,case_study_1_4_9,Borda,109.0,3
case_study_1,4,9,case_study_1_4_9,Mean,4.454545454545454,3
case_study_1,4,9,case_study_1_4_9,Median,4.0,3
case_study_1,5,1,case_study_1_5_1,R2R_copeland,4.148148148148148,4
case_study_1,5,1,case_study_1_5_1,R2R_borda,4.533333333333333,4
case_study_1,5,1,case_study_1_5_1,Copeland,6.0,4
case_study_1,5,1,case_study_1_5_1,Borda,151.0,4
case_study_1,5,1,case_study_1_5_1,Mean,4.333333333333333,4
case_study_1,5,1,case_study_1_5_1,Median,4.0,4
case_study_1,5,2,case_study_1_5_2,R2R_copeland,4.074074074074074,6
case_study_1,5,2,case_study_1_5_2,R2R_borda,4.355555555555555,7
case_study_1,5,2,case_study_1_5_2,Copeland,4.0,6
case_study_1,5,2,case_study_1_5_2,Borda,108.0,7
case_study_1,5,2,case_study_1_5_2,Mean,3.925925925925926,7
case_study_1,5,2,case_study_1_5_2,Median,4.0,4
case_study_1,5,3,case_study_1_5_3,R2R_copeland,4.111111111111111,5
case_study_1,5,3,case_study_1_5_3,R2R_borda,4.451851851851852,5
case_study_1,5,3,case_study_1_5_3,Copeland,5.0,5
case_study_1,5,3,case_study_1_5_3,Borda,136.0,5
case_study_1,5,3,case_study_1_5_3,Mean,4.185185185185185,5
case_study_1,5,3,case_study_1_5_3,Median,4.0,4
case_study_1,5,4,case_study_1_5_4,R2R_copeland,4.037037037037037,7
case_study_1,5,4,case_study_1_5_4,R2R_borda,4.377777777777778,6
case_study_1,5,4,case_study_1_5_4,Copeland,3.0,7
case_study_1,5,4,case_study_1_5_4,Borda,113.0,6
case_study_1,5,4,case_study_1_5_4,Mean,4.0,6
case_study_1,5,4,case_study_1_5_4,Median,4.0,4
case_study_1,5,5,case_study_1_5_5,R2R_copeland,4.0,8
case_study_1,5,5,case_study_1_5_5,R2R_borda,4.281481481481482,8
case_study_1,5,5,case_study_1_5_5,Copeland,2.0,8
case_study_1,5,5,case_study_1_5_5,Borda,95.0,8
case_study_1,5,5,case_study_1_5_5,Mean,3.740740740740741,8
case_study_1,5,5,case_study_1_5_5,Median,4.0,4
case_study_1,5,6,case_study_1_5_6,R2R_copeland,5.0,3
case_study_1,5,6,case_study_1_5_6,R2R_borda,5.140740740740741,3
case_study_1,5,6,case_study_1_5_6,Copeland,7.0,3
case_study_1,5,6,case_study_1_5_6,Borda,165.0,2
case_study_1,5,6,case_study_1_5_6,Mean,4.37037037037037,2
case_study_1,5,6,case_study_1_5_6,Median,5.0,1
case_study_1,5,7,case_study_1_5_7,R2R_copeland,3.037037037037037,9
case_study_1,5,7,case_study_1_5_7,R2R_borda,3.1037037037037036,9
case_study_1,5,7,case_study_1_5_7,Copeland,1.0,9
case_study_1,5,7,case_study_1_5_7,Borda,38.0,10
case_study_1,5,7,case_study_1_5_7,Mean,3.185185185185185,9
case_study_1,5,7,case_study_1_5_7,Median,3.0,9
case_study_1,5,8,case_study_1_5_8,R2R_copeland,5.037037037037037,2
case_study_1,5,8,case_study_1_5_8,R2R_borda,5.162962962962963,2
case_study_1,5,8,case_study_1_5_8,Copeland,8.0,2
case_study_1,5,8,case_study_1_5_8,Borda,162.0,3
case_study_1,5,8,case_study_1_5_8,Mean,4.37037037037037,2
case_study_1,5,8,case_study_1_5_8,Median,5.0,1
case_study_1,5,9,case_study_1_5_9,R2R_copeland,3.0,10
case_study_1,5,9,case_study_1_5_9,R2R_borda,3.096296296296296,10
case_study_1,5,9,case_study_1_5_9,Copeland,0.0,10
case_study_1,5,9,case_study_1_5_9,Borda,42.0,9
case_study_1,5,9,case_study_1_5_9,Mean,3.185185185185185,9
case_study_1,5,9,case_study_1_5_9,Median,3.0,9
case_study_1,5,10,case_study_1_5_10,R2R_copeland,5.074074074074074,1
case_study_1,5,10,case_study_1_5_10,R2R_borda,5.296296296296296,1
case_study_1,5,10,case_study_1_5_10,Copeland,9.0,1
case_study_1,5,10,case_study_1_5_10,Borda,205.0,1
case_study_1,5,10,case_study_1_5_10,Mean,4.814814814814815,1
case_study_1,5,10,case_study_1_5_10,Median,5.0,1
case_study_1,6,1,case_study_1_6_1,R2R_copeland,3.0097058823529412,11
case_study_1,6,1,case_study_1_6_1,R2R_borda,3.2705882352941176,11
case_study_1,6,1,case_study_1_6_1,Copeland,0.33,11
case_study_1,6,1,case_study_1_6_1,Borda,105.0,11
case_study_1,6,1,case_study_1_6_1,Mean,3.0294117647058822,11
case_study_1,6,1,case_study_1_6_1,Median,3.0,10
case_study_1,6,2,case_study_1_6_2,R2R_copeland,4.205882352941177,1
case_study_1,6,2,case_study_1_6_2,R2R_borda,4.870588235294118,1
case_study_1,6,2,case_study_1_6_2,Copeland,11.0,1
case_study_1,6,2,case_study_1_6_2,Borda,252.0,1
case_study_1,6,2,case_study_1_6_2,Mean,4.029411764705882,1
case_study_1,6,2,case_study_1_6_2,Median,4.0,1
case_study_1,6,3,case_study_1_6_3,R2R_copeland,4.048823529411765,5
case_study_1,6,3,case_study_1_6_3,R2R_borda,4.670588235294118,4
case_study_1,6,3,case_study_1_6_3,Copeland,5.66,5
case_study_1,6,3,case_study_1_6_3,Borda,211.0,4
case_study_1,6,3,case_study_1_6_3,Mean,3.823529411764706,4
case_study_1,6,3,case_study_1_6_3,Median,4.0,1
case_study_1,6,4,case_study_1_6_4,R2R_copeland,4.0391176470588235,7
case_study_1,6,4,case_study_1_6_4,R2R_borda,4.605882352941176,8
case_study_1,6,4,case_study_1_6_4,Copeland,5.33,7
case_study_1,6,4,case_study_1_6_4,Borda,194.0,7
case_study_1,6,4,case_study_1_6_4,Mean,3.7058823529411766,5
case_study_1,6,4,case_study_1_6_4,Median,4.0,1
case_study_1,6,5,case_study_1_6_5,R2R_copeland,3.0588235294117645,10
case_study_1,6,5,case_study_1_6_5,R2R_borda,3.317647058823529,10
case_study_1,6,5,case_study_1_6_5,Copeland,2.0,10
case_study_1,6,5,case_study_1_6_5,Borda,140.0,10
case_study_1,6,5,case_study_1_6_5,Mean,3.2058823529411766,10
case_study_1,6,5,case_study_1_6_5,Median,3.0,10
case_study_1,6,6,case_study_1_6_6,R2R_copeland,4.147058823529412,3
case_study_1,6,6,case_study_1_6_6,R2R_borda,4.752941176470588,3
case_study_1,6,6,case_study_1_6_6,Copeland,9.0,3
case_study_1,6,6,case_study_1_6_6,Borda,229.0,3
case_study_1,6,6,case_study_1_6_6,Mean,3.8823529411764706,2
case_study_1,6,6,case_study_1_6_6,Median,4.0,1
case_study_1,6,7,case_study_1_6_7,R2R_copeland,3.588235294117647,9
case_study_1,6,7,case_study_1_6_7,R2R_borda,3.888235294117647,9
case_study_1,6,7,case_study_1_6_7,Copeland,4.0,8
case_study_1,6,7,case_study_1_6_7,Borda,178.0,9
case_study_1,6,7,case_study_1_6_7,Mean,3.3529411764705883,9
case_study_1,6,7,case_study_1_6_7,Median,3.5,9
case_study_1,6,8,case_study_1_6_8,R2R_copeland,4.097941176470588,4
case_study_1,6,8,case_study_1_6_8,R2R_borda,4.635294117647058,5
case_study_1,6,8,case_study_1_6_8,Copeland,7.33,4
case_study_1,6,8,case_study_1_6_8,Borda,202.0,5
case_study_1,6,8,case_study_1_6_8,Mean,3.6176470588235294,7
case_study_1,6,8,case_study_1_6_8,Median,4.0,1
case_study_1,6,9,case_study_1_6_9,R2R_copeland,4.048823529411765,5
case_study_1,6,9,case_study_1_6_9,R2R_borda,4.635294117647058,5
case_study_1,6,9,case_study_1_6_9,Copeland,5.66,5
case_study_1,6,9,case_study_1_6_9,Borda,201.0,6
case_study_1,6,9,case_study_1_6_9,Mean,3.6470588235294117,6
case_study_1,6,9,case_study_1_6_9,Median,4.0,1
case_study_1,6,10,case_study_1_6_10,R2R_copeland,4.176470588235294,2
case_study_1,6,10,case_study_1_6_10,R2R_borda,4.805882352941176,2
case_study_1,6,10,case_study_1_6_10,Copeland,10.0,2
case_study_1,6,10,case_study_1_6_10,Borda,244.0,2
case_study_1,6,10,case_study_1_6_10,Mean,3.8823529411764706,2
case_study_1,6,10,case_study_1_6_10,Median,4.0,1
case_study_1,6,11,case_study_1_6_11,R2R_copeland,4.0194117647058825,8
case_study_1,6,11,case_study_1_6_11,R2R_borda,4.623529411764705,7
case_study_1,6,11,case_study_1_6_11,Copeland,3.66,9
case_study_1,6,11,case_study_1_6_11,Borda,183.0,8
case_study_1,6,11,case_study_1_6_11,Mean,3.5294117647058822,8
case_study_1,6,11,case_study_1_6_11,Median,4.0,1
case_study_1,6,12,case_study_1_6_12,R2R_copeland,3.0097058823529412,11
case_study_1,6,12,case_study_1_6_12,R2R_borda,3.223529411764706,12
case_study_1,6,12,case_study_1_6_12,Copeland,0.33,11
case_study_1,6,12,case_study_1_6_12,Borda,105.0,11
case_study_1,6,12,case_study_1_6_12,Mean,2.7941176470588234,12
case_study_1,6,12,case_study_1_6_12,Median,3.0,10
case_study_1,7,1,case_study_1_7_1,R2R_copeland,3.0,8
case_study_1,7,1,case_study_1_7_1,R2R_borda,3.1666666666666665,8
case_study_1,7,1,case_study_1_7_1,Copeland,0.0,8
case_study_1,7,1,case_study_1_7_1,Borda,27.0,7
case_study_1,7,1,case_study_1_7_1,Mean,3.0555555555555554,8
case_study_1,7,1,case_study_1_7_1,Median,3.0,6
case_study_1,7,2,case_study_1_7_2,R2R_copeland,4.555555555555555,3
case_study_1,7,2,case_study_1_7_2,R2R_borda,4.811111111111111,3
case_study_1,7,2,case_study_1_7_2,Copeland,4.0,4
case_study_1,7,2,case_study_1_7_2,Borda,79.0,4
case_study_1,7,2,case_study_1_7_2,Mean,4.388888888888889,2
case_study_1,7,2,case_study_1_7_2,Median,4.5,2
case_study_1,7,3,case_study_1_7_3,R2R_copeland,5.0,1
case_study_1,7,3,case_study_1_7_3,R2R_borda,5.0,1
case_study_1,7,3,case_study_1_7_3,Copeland,7.0,1
case_study_1,7,3,case_study_1_7_3,Borda,107.0,1
case_study_1,7,3,case_study_1_7_3,Mean,4.555555555555555,1
case_study_1,7,3,case_study_1_7_3,Median,5.0,1
case_study_1,7,4,case_study_1_7_4,R2R_copeland,3.0555555555555554,7
case_study_1,7,4,case_study_1_7_4,R2R_borda,3.188888888888889,7
case_study_1,7,4,case_study_1_7_4,Copeland,1.0,7
case_study_1,7,4,case_study_1_7_4,Borda,26.0,8
case_study_1,7,4,case_study_1_7_4,Mean,3.111111111111111,7
case_study_1,7,4,case_study_1_7_4,Median,3.0,6
case_study_1,7,5,case_study_1_7_5,R2R_copeland,4.629444444444444,2
case_study_1,7,5,case_study_1_7_5,R2R_borda,4.844444444444444,2
case_study_1,7,5,case_study_1_7_5,Copeland,5.33,2
case_study_1,7,5,case_study_1_7_5,Borda,80.0,3
case_study_1,7,5,case_study_1_7_5,Mean,4.166666666666667,3
case_study_1,7,5,case_study_1_7_5,Median,4.5,2
case_study_1,7,6,case_study_1_7_6,R2R_copeland,3.111111111111111,6
case_study_1,7,6,case_study_1_7_6,R2R_borda,3.2444444444444445,6
case_study_1,7,6,case_study_1_7_6,Copeland,2.0,6
case_study_1,7,6,case_study_1_7_6,Borda,37.0,6
case_study_1,7,6,case_study_1_7_6,Mean,3.2222222222222223,6
case_study_1,7,6,case_study_1_7_6,Median,3.0,6
case_study_1,7,7,case_study_1_7_7,R2R_copeland,4.129444444444444,4
case_study_1,7,7,case_study_1_7_7,R2R_borda,4.333333333333333,4
case_study_1,7,7,case_study_1_7_7,Copeland,5.33,2
case_study_1,7,7,case_study_1_7_7,Borda,83.0,2
case_study_1,7,7,case_study_1_7_7,Mean,4.111111111111111,4
case_study_1,7,7,case_study_1_7_7,Median,4.0,4
case_study_1,7,8,case_study_1_7_8,R2R_copeland,4.0,5
case_study_1,7,8,case_study_1_7_8,R2R_borda,4.211111111111111,5
case_study_1,7,8,case_study_1_7_8,Copeland,3.0,5
case_study_1,7,8,case_study_1_7_8,Borda,65.0,5
case_study_1,7,8,case_study_1_7_8,Mean,3.9444444444444446,5
case_study_1,7,8,case_study_1_7_8,Median,4.0,4
case_study_1,8,1,case_study_1_8_1,R2R_copeland,4.142857142857143,6
case_study_1,8,1,case_study_1_8_1,R2R_borda,4.514285714285714,6
case_study_1,8,1,case_study_1_8_1,Copeland,4.0,5
case_study_1,8,1,case_study_1_8_1,Borda,74.0,6
case_study_1,8,1,case_study_1_8_1,Mean,4.190476190476191,5
case_study_1,8,1,case_study_1_8_1,Median,4.0,4
case_study_1,8,2,case_study_1_8_2,R2R_copeland,4.190476190476191,4
case_study_1,8,2,case_study_1_8_2,R2R_borda,4.6,4
