session,username,group_number,project_grade,exam_grade
13,uid1,5,81_to_85,
12,uid19,2,71_to_75,
12,uid9,2,71_to_75,
12,uid7,7,91_to_95,
12,uid2,7,91_to_95,
12,uid13,7,91_to_95,
13,uid8,3,81_to_85,
13,uid4,3,81_to_85,
13,uid24,3,81_to_85,
11,uid3,6,91_to_95,
11,uid11,6,91_to_95,
14,uid12,2,86_to_90,
14,uid8,2,86_to_90,
14,uid14,2,86_to_90,
14,uid7,1,71_to_75,
14,uid6,1,71_to_75,
13,uid17,9,96_to_100,
13,uid2,9,96_to_100,
15,uid14,6,66_to_70,
11,uid8,4,96_to_100,
11,uid14,4,96_to_100,
14,uid4,3,91_to_95,
14,uid1,3,91_to_95,
14,uid13,7,91_to_95,
14,uid16,7,91_to_95,
16,uid11,7,91_to_95,
16,uid15,7,91_to_95,
13,uid22,7,91_to_95,
13,uid3,7,91_to_95,
12,uid10,9,96_to_100,
12,uid15,9,96_to_100,
12,uid3,9,96_to_100,
16,uid7,6,86_to_90,
16,uid6,6,86_to_90,
13,uid16,1,91_to_95,
13,uid19,1,91_to_95,
13,uid9,1,91_to_95,
16,uid14,4,96_to_100,
16,uid1,4,96_to_100,
11,uid13,8,81_to_85,
11,uid19,8,81_to_85,
11,uid20,5,96_to_100,
11,uid21,5,96_to_100,
13,uid7,8,81_to_85,
13,uid5,8,81_to_85,
13,uid23,8,81_to_85,
13,uid13,4,81_to_85,
16,uid10,2,86_to_90,
16,uid5,2,86_to_90,
16,uid2,2,86_to_90,
12,uid4,5,76_to_80,
15,uid16,4,86_to_90,
15,uid17,4,86_to_90,
14,uid2,9,81_to_85,
14,uid15,9,81_to_85,
12,uid17,8,86_to_90,
12,uid21,8,86_to_90,
12,uid20,6,86_to_90,
12,uid11,6,86_to_90,
13,uid20,6,81_to_85,
13,uid6,6,81_to_85,
13,uid11,6,81_to_85,
11,uid17,1,91_to_95,
11,uid7,1,91_to_95,
16,uid17,9,91_to_95,
16,uid8,9,91_to_95,
11,uid18,2,71_to_75,
11,uid6,2,71_to_75,
11,uid16,2,71_to_75,
11,uid22,3,81_to_85,
11,uid9,3,81_to_85,
11,uid5,3,81_to_85,
16,uid16,1,71_to_75,
16,uid12,1,71_to_75,
14,uid9,5,71_to_75,
14,uid20,5,71_to_75,
16,uid13,5,76_to_80,
16,uid9,5,76_to_80,
16,uid4,8,66_to_70,
12,uid5,3,86_to_90,
12,uid1,3,86_to_90,
12,uid6,3,86_to_90,
13,uid18,10,76_to_80,
15,uid18,9,71_to_75,
15,uid7,9,71_to_75,
15,uid15,9,71_to_75,
15,uid9,5,91_to_95,
15,uid10,5,91_to_95,
15,uid1,5,91_to_95,
15,uid2,10,71_to_75,
14,uid3,6,86_to_90,
14,uid11,6,86_to_90,
14,uid10,6,86_to_90,
15,uid20,7,91_to_95,
15,uid13,7,91_to_95,
16,uid3,3,81_to_85,
16,uid18,3,81_to_85,
12,uid12,10,81_to_85,
19,uid9,1,96_to_100,
19,uid21,1,96_to_100,
17,uid22,4,96_to_100,91_to_100
17,uid13,6,96_to_100,91_to_100
17,uid17,6,96_to_100,91_to_100
17,uid2,1,96_to_100,81_to_90
17,uid15,1,96_to_100,91_to_100
17,uid6,1,96_to_100,71_to_80
17,uid5,4,96_to_100,81_to_90
17,uid7,3,96_to_100,91_to_100
17,uid20,3,96_to_100,91_to_100
17,uid23,3,96_to_100,71_to_80
17,uid10,5,91_to_95,81_to_90
17,uid4,5,91_to_95,91_to_100
17,uid14,5,91_to_95,91_to_100
17,uid8,2,91_to_95,81_to_90
17,uid11,2,91_to_95,71_to_80
17,uid19,2,91_to_95,91_to_100
19,uid10,4,86_to_90,91_to_100
19,uid5,5,86_to_90,11_to_20
19,uid12,5,86_to_90,91_to_100
20,uid7,1,86_to_90,
20,uid8,2,81_to_85,
19,uid9,7,81_to_85,
19,uid16,7,81_to_85,
20,uid6,6,81_to_85,91_to_100
20,uid3,6,81_to_85,31_to_40
20,uid1,1,81_to_85,71_to_80
20,uid2,4,81_to_85,61_to_70
19,uid1,3,76_to_80,71_to_80
19,uid14,2,76_to_80,71_to_80
19,uid11,2,76_to_80,41_to_50
19,uid4,2,76_to_80,71_to_80
19,uid13,6,71_to_75,71_to_80
19,uid2,8,71_to_75,41_to_50
17,uid18,7,66_to_70,81_to_90
17,uid1,7,66_to_70,81_to_90
17,uid12,7,66_to_70,
19,uid3,8,61_to_65,81_to_90
20,uid7,5,51_to_55,
